name,type,start_time,duration,"data"
"Async Serial","data",0.33958944,0.00098944,"d"
"Async Serial","data",0.34063088,0.00098944,"l"
"Async Serial","data",0.34167232,0.00098944,"e"
"Async Serial","data",0.34271408,0.00098944," "
"Async Serial","data",0.34375584,0.00098944,"l"
"Async Serial","data",0.3447976,0.00098944,"o"
"Async Serial","data",0.34583936,0.00098944,"o"
"Async Serial","data",0.34688112,0.00098944,"k"
"Async Serial","data",0.34792288,0.00098944,"e"
"Async Serial","data",0.34896432,0.00098944,"d"
"Async Serial","data",0.35000608,0.00098944," "
"Async Serial","data",0.35104752,0.00098944,"d"
"Async Serial","data",0.35208912,0.00098944,"e"
"Async Serial","data",0.35313072,0.00098944,"e"
"Async Serial","data",0.35417232,0.00098944,"p"
"Async Serial","data",0.35521392,0.00098944,"l"
"Async Serial","data",0.35625536,0.00098944,"y"
"Async Serial","data",0.3572968,0.00098944," "
"Async Serial","data",0.35833856,0.00098944,"i"
"Async Serial","data",0.35938016,0.00098944,"n"
"Async Serial","data",0.36042176,0.00098944,"c"
"Async Serial","data",0.36146352,0.00098944,"r"
"Async Serial","data",0.36250512,0.00098944,"e"
"Async Serial","data",0.36354688,0.00098944,"d"
"Async Serial","data",0.36458848,0.00098944,"u"
"Async Serial","data",0.36562992,0.00098944,"l"
"Async Serial","data",0.36667168,0.00098944,"o"
"Async Serial","data",0.36771328,0.00098944,"u"
"Async Serial","data",0.36875488,0.00098944,"s"
"Async Serial","data",0.36979648,0.00098944,"."
"Async Serial","data",0.37083824,0.00098944,""
"Async Serial","data",0.37187968,0.00098944,"
"
"Async Serial","data",0.37292128,0.00098944,""
"Async Serial","data",0.37396304,0.00098944,"
"
"Async Serial","data",0.37500464,0.00098944,""""
"Async Serial","data",0.3760464,0.00098944,"W"
"Async Serial","data",0.37708816,0.00098944,"e"
"Async Serial","data",0.37812992,0.00098944,"l"
"Async Serial","data",0.37917152,0.00098944,"l"
"Async Serial","data",0.38021296,0.00098944,","
"Async Serial","data",0.3812544,0.00098944," "
"Async Serial","data",0.38229584,0.00098944,"M"
"Async Serial","data",0.38333744,0.00098944,"r"
"Async Serial","data",0.38437888,0.00098944,"."
"Async Serial","data",0.38542048,0.00098944," "
"Async Serial","data",0.38646176,0.00098944,"M"
"Async Serial","data",0.38750336,0.00098944,"a"
"Async Serial","data",0.3885448,0.00098944,"l"
"Async Serial","data",0.38958672,0.00098944,"o"
"Async Serial","data",0.39062832,0.00098944,"n"
"Async Serial","data",0.3916704,0.00098944,"e"
"Async Serial","data",0.392712,0.00098944,","
"Async Serial","data",0.39375344,0.00098944,""""
"Async Serial","data",0.39479504,0.00098944," "
"Async Serial","data",0.39583664,0.00098944,"h"
"Async Serial","data",0.39687824,0.00098944,"e"
"Async Serial","data",0.39791984,0.00098944," "
"Async Serial","data",0.39896144,0.00098944,"s"
"Async Serial","data",0.40000304,0.00098944,"a"
"Async Serial","data",0.40104464,0.00098944,"i"
"Async Serial","data",0.40208656,0.00098944,"d"
"Async Serial","data",0.40312816,0.00098944," "
"Async Serial","data",0.40417024,0.00098944,"a"
"Async Serial","data",0.40521184,0.00098944,"t"
"Async Serial","data",0.40625344,0.00098944," "
"Async Serial","data",0.40729504,0.00098944,"l"
"Async Serial","data",0.40833664,0.00098944,"a"
"Async Serial","data",0.40937824,0.00098944,"s"
"Async Serial","data",0.41041984,0.00098944,"t"
"Async Serial","data",0.41146144,0.00098944,","
"Async Serial","data",0.4125032,0.00098944," "
"Async Serial","data",0.4135448,0.00098944,""""
"Async Serial","data",0.41458656,0.00098944,"a"
"Async Serial","data",0.41562832,0.00098944,"b"
"Async Serial","data",0.41666992,0.00098944,"o"
"Async Serial","data",0.41771168,0.00098944,"u"
"Async Serial","data",0.41875328,0.00098944,"t"
"Async Serial","data",0.41979504,0.00098944," "
"Async Serial","data",0.42083664,0.00098944,"t"
"Async Serial","data",0.4218784,0.00098944,"h"
"Async Serial","data",0.42292,0.00098944,"i"
"Async Serial","data",0.42396176,0.00098944,"s"
"Async Serial","data",0.42500336,0.00098944," "
"Async Serial","data",0.42604496,0.00098944,"s"
"Async Serial","data",0.42708672,0.00098944,"c"
"Async Serial","data",0.42812832,0.00098944,"i"
"Async Serial","data",0.42917008,0.00098944,"e"
"Async Serial","data",0.43021168,0.00098944,"n"
"Async Serial","data",0.43125344,0.00098944,"t"
"Async Serial","data",0.43229504,0.00098944,"i"
"Async Serial","data",0.4333368,0.00098944,"f"
"Async Serial","data",0.43437808,0.00098944,"i"
"Async Serial","data",0.43541984,0.00098944,"c"
"Async Serial","data",0.43646144,0.00098944," "
"Async Serial","data",0.43750304,0.00098944,"m"
"Async Serial","data",0.43854496,0.00098944,"e"
"Async Serial","data",0.43958656,0.00098944,"e"
"Async Serial","data",0.44062816,0.00098944,"t"
"Async Serial","data",0.44166976,0.00098944,"i"
"Async Serial","data",0.44271152,0.00098944,"n"
"Async Serial","data",0.44375312,0.00098944,"g"
"Async Serial","data",0.44479488,0.00098944,""
"Async Serial","data",0.44583648,0.00098944,"
"
"Async Serial","data",0.44687808,0.00098944,"t"
"Async Serial","data",0.44791984,0.00098944,"o"
"Async Serial","data",0.44896144,0.00098944,"-"
"Async Serial","data",0.45000288,0.00098944,"n"
"Async Serial","data",0.45104432,0.00098944,"i"
"Async Serial","data",0.45208624,0.00098944,"g"
"Async Serial","data",0.453128,0.00098944,"h"
